No,Brand,Model Insurance,Model TLS,CC
125,KIA,KIA K2700 2.7 2 Doors,K2700,2700
126,LEXUS,LEXUS IS300 2.5 4 Doors,IS 300h(Luxury),2500
127,LEXUS,LEXUS LS460 4.6 4 Doors,LS 460 Long Wheel Base,4600
129,LEXUS,LEXUS NX300h 2.5 4 Doors,NX 300h AWD Premium,2500
131,LEXUS,LEXUS RX270 2.7 4 Doors,RX 270(Premium),2700
132,LEXUS,LEXUS LS350 3.5 4 Doors,LEXUS LS 350 Luxury,3500
133,MASERATI,MASERATI QUATTROPORTE 4.7 4 Doors,QUATTROPORTE S POWER 430 Hp,4700
134,MAXUS,MAXUS V80 GRAND LMO 2.5 3 Doors,V80 Grand LIMO,2500
135,MAXUS,MAXUS V80 LATIVA 2.5 3 Doors,V80 LATIVA,2500
136,MAXUS,MAXUS V80 LMO 2.5 3 Doors,V80 LIMO,2500
137,MAXUS,MAXUS V80 SWB MR 2.5 3 Doors,V80 SWB MR,2500
138,MERCEDES BENZ,MERCEDES-BENZ C200 2.0 4 Doors,C 200 Avantgarde (CKD),2000
139,MERCEDES BENZ,MERCEDES-BENZ C200 1.8 4 Doors,C 200 Style,1800
140,MERCEDES BENZ,MERCEDES-BENZ C220 2.2 4 Doors,C 220 CDI Executive,2200
141,MERCEDES BENZ,MERCEDES-BENZ C220 2.0 4 Doors,C 220 d Exclusive (CKD),2000
143,MERCEDES BENZ,MERCEDES-BENZ C250 2.0 4 Doors,C 250 AMG Dynamic (CBU),2000
144,MERCEDES BENZ,MERCEDES-BENZ C350 2.0 4 Doors,C 350 e AMG Dynamic  (CKD),2000
147,MERCEDES BENZ,MERCEDES-BENZ CLS250 2.0 4 Doors,CLS 250 CDI Exclusive (CBU),2200
148,MERCEDES BENZ,MERCEDES-BENZ E200 2.0 4 Doors,E 200 Avantgarde (CKD),2000
149,MERCEDES BENZ,MERCEDES-BENZ E200 1.8 4 Doors,E 200 CGI Blue EFFICIENCY ELEGANCE,1800
151,MERCEDES BENZ,MERCEDES-BENZ E220 2.0 4 Doors,E 220 d AMG Dynamic (CBU),2000
155,MERCEDES BENZ,MERCEDES-BENZ E250 2.2 4 Doors,E 250 CDI Blue EFFICIENCY ELEGANCE,2200
157,MERCEDES BENZ,MERCEDES-BENZ E250 1.8 4 Doors,E 250 CGI Blue EFFICIENCY AVANTGARDE,1800
159,MERCEDES BENZ,MERCEDES-BENZ E300 2.2 4 Doors,E 300 BlueTEC HYBRID AMG Dynamic (CKD),2200
165,MERCEDES BENZ,MERCEDES-BENZ E350 2.0 4 Doors,E 350 e AMG Dynamic (CKD),2000
168,MERCEDES BENZ,MERCEDES-BENZ GLC250 2.2 4 Doors,GLC 250 d 4MATIC Coupe AMG Plus (CKD),2200
169,MERCEDES BENZ,MERCEDES-BENZ MAYBACH S560 4.0 4 Doors,Maybach S 560 Premium,4000
170,MERCEDES BENZ,MERCEDES-BENZ ML250 2.2 4 Doors,ML 250 BlueTEC Executive (CBU),2200
171,MERCEDES BENZ,MERCEDES-BENZ S300 2.2 4 Doors,S 300 BlueTEC HYBRID AMG Premium (CKD),2200
173,MERCEDES BENZ,MERCEDES-BENZ S300 3.0 4 Doors,S 300 LONG WHEELBASE,3000
175,MERCEDES BENZ,MERCEDES-BENZ S350 3.0 4 Doors,S 350 CDI BlueEFFICIENCY Long Wheelbase,3000
179,MERCEDES BENZ,MERCEDES-BENZ S500 3.0 4 Doors,S 500 e AMG Premium  (CKD),3000
181,MERCEDES BENZ,MERCEDES-BENZ S500 5.5 4 Doors,S 500 LONG WHEELBASE,5500
182,MERCEDES BENZ,MERCEDES-BENZ S560 3.0 4 Doors,S 560 e AMG Premium (CKD),3000
183,MERCEDES BENZ,MERCEDES-BENZ SPRINTER 3.0 MINI COACH 6 SEATS,Sprinter 319 CDI Panel Van Standard Package,3000
184,MERCEDES BENZ,MERCEDES-BENZ SPRINTER 3.5 MINI COACH 10 SEATS,Sprinter 519 CDI 10 Seats mini coach,3500
