"ClassTime_ID","DBCarClass_ID","Period_ID"
16629,53,43
16630,53,44
16631,53,45
16632,53,46
16633,53,47
16634,53,48
16635,53,49
16636,53,50
16637,53,51
16638,53,52
16639,54,3
16640,54,5
16641,54,7
16642,54,9
16643,54,11
16644,54,13
16645,54,15
16646,54,17
16647,54,19
16648,54,21
16649,54,22
16650,54,23
16651,54,24
16652,54,25
16653,54,26
16654,54,27
16655,54,29
16656,54,30
16657,54,31
16658,54,32
16659,54,33
16660,54,34
16661,54,35
16662,54,36
16663,54,37
16664,54,38
16665,54,39
16666,54,40
16667,54,41
16668,54,42
16669,54,43
16670,54,44
16671,54,45
16672,54,46
16673,54,47
16674,54,48
16675,54,49
16676,54,50
16677,54,51
16678,54,52
16679,55,3
16680,55,5
16681,55,7
16682,55,9
16683,55,11
16684,55,13
16685,55,15
16686,55,17
16687,55,19
16688,55,21
16689,55,22
16690,55,23
16691,55,24
16692,55,25
16693,55,26
16694,55,27
16695,55,29
16696,55,30
16697,55,31
16698,55,32
16699,55,33
16700,55,34
16701,55,35
16702,55,36
16703,55,37
16704,55,38
16705,55,39
16706,55,40
16707,55,41
16708,55,42
16709,55,43
16710,55,44
16711,55,45
16712,55,46
16713,55,47
16714,55,48
16715,55,49
16716,55,50
16717,55,51
16718,55,52
16719,25,3
16720,25,5
16721,25,7
16722,25,9
16723,25,11
16724,25,13
16725,25,15
16726,25,17
16727,25,19
16728,25,21
16729,25,22
16730,25,23
16731,25,24
16732,25,25
16733,25,26
16734,25,27
16735,25,29
16736,25,30
16737,25,31
16738,25,32
16739,25,33
16740,25,34
16741,25,35
16742,25,36
16743,25,37
16744,25,38
16745,25,39
16746,25,40
16747,25,41
16748,25,42
16749,25,43
16750,25,44
16751,25,45
16752,25,46
16753,25,47
16754,25,48
16755,25,49
16756,25,50
16757,25,51
16758,25,52
16799,30,3
16800,30,5
16801,30,7
16802,30,9
16803,30,11
16804,30,13
16805,30,15
16806,30,17
16807,30,19
16808,30,21
16809,30,22
16810,30,23
16811,30,24
16812,30,25
16813,30,26
16814,30,27
16815,30,29
16816,30,30
16817,30,31
16818,30,32
16819,30,33
16820,30,34
16821,30,35
16822,30,36
16823,30,37
16824,30,38
16825,30,39
16826,30,40
16827,30,41
16828,30,42
16829,30,43
16830,30,44
16831,30,45
16832,30,46
16833,30,47
16834,30,48
16835,30,49
16836,30,50
16837,30,51
16838,30,52
16971,21,3
16972,21,5
16973,21,7
16974,21,9
16975,21,11
16976,21,13
16977,21,15
16978,21,17
16979,21,19
16980,21,21
16981,21,22
16982,21,23
16983,21,24
16984,21,25
16985,21,26
16986,21,27
16987,21,29
16988,21,30
16989,21,31
16990,21,32
16991,21,33
16992,21,34
16993,21,35
16994,21,36
16995,21,37
16996,21,38
16997,21,39
16998,21,40
16999,21,41
17000,21,42
17001,21,43
17002,21,44
17003,21,45
17004,21,46
17005,21,47
17006,21,48
17007,21,49
17008,21,50
17009,21,51
17010,21,52
17011,151,3
17012,151,5
17013,151,7
17014,151,9
17015,151,11
17016,151,13
17017,151,15
17018,151,17
17019,151,19
17020,151,21
17021,151,22
17022,151,23
17023,151,24
17024,151,25
17025,151,26
17026,151,27
17027,151,29
17028,151,30
17029,151,31
17030,151,32
17031,151,33
17032,151,34
17033,151,35
17034,151,36
17035,151,37
17036,151,38
17037,151,39
17038,151,40
17039,151,41
17040,151,42
17041,151,43
17042,151,44
17043,151,45
17044,151,46
17045,151,47
17046,151,48
17047,151,49
17048,151,50
17049,151,51
17050,151,52
17051,22,3
17052,22,5
17053,22,7
17054,22,9
17055,22,11
17056,22,13
17057,22,15
17058,22,17
17059,22,19
17060,22,21
17061,22,22
17062,22,23
17063,22,24
17064,22,25
17065,22,26
17066,22,27
17067,22,29
17068,22,30
17069,22,31
17070,22,32
17071,22,33
17072,22,34
17073,22,35
17074,22,36
17075,22,37
17076,22,38
17077,22,39
17078,22,40
17079,22,41
17080,22,42
17081,22,43
17082,22,44
17083,22,45
17084,22,46
17085,22,47
17086,22,48
17087,22,49
17088,22,50
17089,22,51
17090,22,52
17091,172,3
17092,172,5
17093,172,7
17094,172,9
17095,172,11
17096,172,13
17097,172,15
17098,172,17
17099,172,19
17100,172,21
17101,172,22
17102,172,23
17103,172,24
17104,172,25
17105,172,26
17106,172,27
17107,172,29
17108,172,30
17109,172,31
17110,172,32
17111,172,33
17112,172,34
17113,172,35
17114,172,36
17115,172,37
17116,172,38
17117,172,39
17118,172,40
17119,172,41
17120,172,42
17121,172,43
17122,172,44
17123,172,45
17124,172,46
17125,172,47
17126,172,48
17127,172,49
17128,172,50
17129,172,51
17130,172,52
17131,10,3
17132,10,5
17133,10,7
17134,10,9
17135,10,11
17136,10,13
17137,10,15
17138,10,17
17139,10,19
17140,10,21
17141,10,22
17142,10,23
17143,10,24
17144,10,25
17145,10,26
17146,10,27
17147,10,29
17148,10,30
17149,10,31
17150,10,32
17151,10,33
17152,10,34
17153,10,35
17154,10,36
17155,10,37
17156,10,38
17157,10,39
17158,10,40
17159,10,41
17160,10,42
17161,10,43
17162,10,44
17163,10,45
17164,10,46
17165,10,47
17166,10,48
17167,10,49
17168,10,50
17169,10,51
17170,10,52
17171,150,3
17172,150,5
17173,150,7
17174,150,9
17175,150,11
17176,150,13
17177,150,15
17178,150,17
17179,150,19
17180,150,21
17181,150,22
17182,150,23
17183,150,24
17184,150,25
17185,150,26
17186,150,27
17187,150,29
17188,150,30
17189,150,31
17190,150,32
17191,150,33
17192,150,34
17193,150,35
17194,150,36
17195,150,37
17196,150,38
17197,150,39
17198,150,40
17199,150,41
17200,150,42
17201,150,43
17202,150,44
17203,150,45
17204,150,46
17205,150,47
17206,150,48
17207,150,49
17208,150,50
17209,150,51
17210,150,52
17811,23,3
17812,23,5
17813,23,7
17814,23,9
17815,23,11
17816,23,13
17817,23,15
17818,23,17
17819,23,19
17820,23,21
17821,23,22
17822,23,23
17823,23,24
17824,23,25
17825,23,26
17826,23,27
17827,23,29
17828,23,30
17829,23,31
17830,23,32
17831,23,33
17832,23,34
17833,23,35
17834,23,36
17835,23,37
17836,23,38
17837,23,39
17838,23,40
17839,23,41
17840,23,42
17841,23,43
17842,23,44
17843,23,45
17844,23,46
17845,23,47
17846,23,48
17847,23,49
17848,23,50
17849,23,51
17850,23,52
17851,141,3
17852,141,5
17853,141,7
17854,141,9
17855,141,11
17856,141,13
17857,141,15
17858,141,17
17859,141,19
17860,141,21
17861,141,22
17862,141,23
17863,141,24
17864,141,25
17865,141,26
17866,141,27
17867,141,29
17868,141,30
17869,141,31
17870,141,32
17871,141,33
17872,141,34
17873,141,35
17874,141,36
17875,141,37
17876,141,38
17877,141,39
17878,141,40
17879,141,41
17880,141,42
17881,141,43
17882,141,44
17883,141,45
17884,141,46
17885,141,47
17886,141,48
17887,141,49
17888,141,50
17889,141,51
17890,141,52
18331,15,3
18332,15,5
18333,15,7
18334,15,9
18335,15,11
18336,15,13
18337,15,15
18338,15,17
18339,15,19
18340,15,21
18341,15,22
18342,15,23
18343,15,24
18344,15,25
18345,15,26
18346,15,27
18347,15,29
18348,15,30
18349,15,31
18350,15,32
18351,15,33
18352,15,34
18353,15,35
18354,15,36
18355,15,37
18356,15,38
18357,15,40
18358,15,39
18359,15,41
18360,15,42
18361,15,43
18362,15,44
18363,15,45
18364,15,46
18365,15,47
18366,15,48
18367,15,49
18368,15,50
18369,15,51
18370,15,52
18738,81,3
18739,81,5
18740,81,7
18741,81,9
18742,81,11
18743,81,13
18744,81,15
18745,81,17
18746,81,19
18747,81,21
18748,81,22
18749,81,23
18750,81,24
18751,81,25
18752,81,26
18753,81,27
18754,81,29
18755,81,30
18756,81,31
18757,81,32
18758,81,33
18759,81,34
18760,81,35
18761,81,36
18762,81,37
18763,81,38
18764,81,39
18765,81,40
18766,81,41
18767,81,42
18768,81,43
18769,81,44
18770,81,45
18771,81,46
18772,81,47
18773,81,48
18774,81,49
18775,81,50
18776,81,51
18777,81,52
18778,82,3
18779,82,5
18780,82,7
18781,82,9
18782,82,11
18783,82,13
18784,82,15
18785,82,17
18786,82,19
18787,82,21
18788,82,22
18789,82,23
18790,82,24
18791,82,25
18792,82,26
18793,82,27
18794,82,29
18795,82,30
18796,82,31
18797,82,32
18798,82,33
18799,82,34
18800,82,35
18801,82,36
18802,82,37
18803,82,38
18804,82,39
18805,82,40
18806,82,41
18807,82,42
18808,82,43
18809,82,44
18810,82,45
18811,82,46
18812,82,47
18813,82,48
18814,82,49
18815,82,50
18816,82,51
18817,82,52
18938,16,3
18939,16,5
18940,16,7
18941,16,9
18942,16,11
18943,16,13
18944,16,15
18945,16,17
18946,16,19
18947,16,21
18948,16,22
18949,16,23
18950,16,24
18951,16,25
18952,16,26
18953,16,27
18954,16,29
18955,16,30
18956,16,31
18957,16,32
18958,16,33
18959,16,34
18960,16,35
18961,16,36
18962,16,37
18963,16,38
18964,16,40
18965,16,39
18966,16,41
18967,16,42
18968,16,43
18969,16,44
18970,16,45
18971,16,46
18972,16,47
18973,16,48
18974,16,49
18975,16,50
18976,16,51
18977,16,52
19301,24,3
19302,24,5
19303,24,7
19304,24,9
19305,24,11
19306,24,13
19307,24,15
19308,24,17
19309,24,19
19310,24,21
19311,24,22
19312,24,23
19313,24,24
19314,24,25
19315,24,26
19316,24,27
19317,24,29
19318,24,30
19319,24,31
19320,24,32
19321,24,33
19322,24,34
19323,24,35
19324,24,36
19325,24,37
19326,24,38
19327,24,39
19328,24,40
19329,24,41
19330,24,42
19331,24,43
19332,24,44
19333,24,45
19334,24,46
19335,24,47
19336,24,48
19337,24,49
19338,24,50
19339,24,51
19340,24,52
19638,167,1
19639,167,3
19640,167,5
19641,167,7
19642,167,9
19643,167,11
19644,167,13
19645,167,15
19646,167,17
19647,167,19
19648,167,21
19649,167,22
19650,167,23
19651,167,24
19652,167,25
19653,167,26
19654,167,27
19655,167,29
19656,167,30
19657,167,32
19658,167,31
19659,167,33
19660,167,34
19661,167,35
19662,167,36
19663,167,37
19664,167,38
19665,167,40
19666,167,39
19667,167,42
19668,167,41
19669,167,44
19670,167,43
19671,167,45
19672,167,46
19673,167,47
19674,167,49
19675,167,48
19676,167,50
19677,167,51
19678,167,52
21852,50,1
21853,50,3
21854,50,5
21855,50,7
21856,50,9
21857,50,11
21858,50,13
21859,50,15
21860,50,17
21861,50,19
21862,50,21
21863,50,22
21864,50,23
21865,50,24
21866,50,25
21867,50,26
21868,50,27
21869,50,29
21870,50,30
21871,50,31
21872,50,33
21873,50,32
21874,50,35
21875,50,34
21876,50,36
21877,50,37
21878,50,38
21879,50,39
21880,50,40
21881,50,41
21882,50,42
21883,50,43
21884,50,44
21885,50,45
21886,50,46
21887,50,47
21888,50,48
21889,50,50
21890,50,49
21891,50,51
21892,50,52
22254,45,1
22255,45,3
22256,45,5
22257,45,7
22258,45,9
22259,45,11
22260,45,13
22261,45,15
22262,45,17
22263,45,19
22264,45,21
22265,45,22
22266,45,23
22267,45,24
22268,45,25
22269,45,26
22270,45,27
22271,45,29
22272,45,30
22273,45,31
22274,45,33
22275,45,32
22276,45,35
22277,45,34
22278,45,36
22279,45,37
22280,45,38
22281,45,39
22282,45,40
22283,45,41
22284,45,42
22285,45,43
22286,45,44
22287,45,45
22288,45,46
22289,45,47
22290,45,48
22291,45,50
22292,45,49
22293,45,51
22294,45,52
22295,46,1
22296,46,3
22297,46,5
22298,46,7
22299,46,9
22300,46,11
22301,46,13
22302,46,15
22303,46,17
22304,46,19
22305,46,21
22306,46,22
22307,46,23
22308,46,24
22309,46,25
22310,46,26
22311,46,27
22312,46,29
22313,46,30
22314,46,31
22315,46,33
22316,46,32
22317,46,35
22318,46,34
22319,46,36
22320,46,37
22321,46,38
22322,46,39
22323,46,40
22324,46,41
22325,46,42
22326,46,43
22327,46,44
22328,46,45
22329,46,46
22330,46,47
22331,46,48
22332,46,50
22333,46,49
22334,46,51
22335,46,52
22336,47,1
22337,47,3
22338,47,5
22339,47,7
22340,47,9
22341,47,11
22342,47,13
22343,47,15
22344,47,17
22345,47,19
22346,47,21
22347,47,22
22348,47,23
22349,47,24
22350,47,25
22351,47,26
22352,47,27
22353,47,29
22354,47,30
22355,47,31
22356,47,33
22357,47,32
22358,47,35
22359,47,34
22360,47,36
22361,47,37
22362,47,38
22363,47,39
22364,47,40
22365,47,41
22366,47,42
22367,47,43
22368,47,44
22369,47,45
22370,47,46
22371,47,47
22372,47,48
22373,47,50
22374,47,49
22375,47,51
22376,47,52
22377,163,1
22378,163,3
22379,163,5
22380,163,7
22381,163,9
22382,163,11
22383,163,13
22384,163,15
22385,163,17
22386,163,19
22387,163,21
22388,163,22
22389,163,23
22390,163,24
22391,163,25
22392,163,26
22393,163,27
22394,163,29
22395,163,30
22396,163,31
22397,163,33
22398,163,32
22399,163,35
22400,163,34
22401,163,36
22402,163,37
22403,163,38
22404,163,39
22405,163,40
22406,163,41
22407,163,42
22408,163,43
22409,163,44
22410,163,45
22411,163,46
22412,163,47
22413,163,48
22414,163,50
22415,163,49
22416,163,51
22417,163,52
22418,164,1
22419,164,3
22420,164,5
22421,164,7
22422,164,9
22423,164,11
22424,164,13
22425,164,15
22426,164,17
22427,164,19
22428,164,21
22429,164,22
22430,164,23
22431,164,24
22432,164,25
22433,164,26
22434,164,27
22435,164,29
22436,164,30
22437,164,31
22438,164,33
22439,164,32
22440,164,35
22441,164,34
22442,164,36
22443,164,37
22444,164,38
22445,164,39
22446,164,40
22447,164,41
22448,164,42
22449,164,43
22450,164,44
22451,164,45
22452,164,46
22453,164,47
22454,164,48
22455,164,50
22456,164,49
22457,164,51
22458,164,52
22459,56,1
22460,56,3
22461,56,5
22462,56,7
22463,56,9
22464,56,11
22465,56,13
22466,56,15
22467,56,17
22468,56,19
22469,56,21
22470,56,22
22471,56,23
22472,56,24
22473,56,25
22474,56,26
22475,56,27
22476,56,29
22477,56,30
22478,56,31
22479,56,33
22480,56,32
22481,56,35
22482,56,34
22483,56,36
22484,56,37
22485,56,38
22486,56,39
22487,56,40
22488,56,41
22489,56,42
22490,56,43
22491,56,44
22492,56,45
22493,56,46
22494,56,47
22495,56,48
22496,56,50
22497,56,49
22498,56,51
22499,56,52
22541,174,1
22542,174,3
22543,174,5
22544,174,7
22545,174,9
22546,174,11
22547,174,13
22548,174,15
22549,174,17
22550,174,19
22551,174,21
22552,174,22
22553,174,23
22554,174,24
22555,174,25
22556,174,26
22557,174,27
22558,174,29
22559,174,30
22560,174,31
22561,174,33
22562,174,32
22563,174,35
22564,174,34
22565,174,36
22566,174,37
22567,174,38
22568,174,39
22569,174,40
22570,174,41
22571,174,42
22572,174,43
22573,174,44
22574,174,45
22575,174,46
22576,174,47
22577,174,48
22578,174,50
22579,174,49
22580,174,51
22581,174,52
22582,58,1
22583,58,3
22584,58,5
22585,58,7
22586,58,9
22587,58,11
22588,58,13
22589,58,15
22590,58,17
22591,58,19
22592,58,21
22593,58,22
22594,58,23
22595,58,24
22596,58,25
22597,58,26
22598,58,27
22599,58,29
22600,58,30
22601,58,31
22602,58,33
22603,58,32
22604,58,35
22605,58,34
22606,58,36
22607,58,37
22608,58,38
22609,58,39
22610,58,40
22611,58,41
22612,58,42
22613,58,43
22614,58,44
22615,58,45
22616,58,46
22617,58,47
22618,58,48
22619,58,50
22620,58,49
22621,58,51
22622,58,52
22623,59,1
22624,59,3
22625,59,5
22626,59,7
22627,59,9
22628,59,11
22629,59,13
22630,59,15
22631,59,17
22632,59,19
22633,59,21
22634,59,22
22635,59,23
22636,59,24
22637,59,25
22638,59,26
22639,59,27
22640,59,29
22641,59,30
22642,59,31
22643,59,33
22644,59,32
22645,59,35
22646,59,34
22647,59,36
22648,59,37
22649,59,38
22650,59,39
22651,59,40
22652,59,41
22653,59,42
22654,59,43
22655,59,44
22656,59,45
22657,59,46
22658,59,47
22659,59,48
22660,59,50
22661,59,49
22662,59,51
22663,59,52
22746,62,1
22747,62,3
22748,62,5
22749,62,7
22750,62,9
22751,62,11
22752,62,13
22753,62,15
22754,62,17
22755,62,19
22756,62,21
22757,62,22
22758,62,23
22759,62,24
22760,62,25
22761,62,26
22762,62,27
22763,62,29
22764,62,30
22765,62,31
22766,62,33
22767,62,32
22768,62,35
22769,62,34
22770,62,36
22771,62,37
22772,62,38
22773,62,39
22774,62,40
22775,62,41
22776,62,42
22777,62,43
22778,62,44
22779,62,45
22780,62,46
22781,62,47
22782,62,48
22783,62,50
22784,62,49
22785,62,51
22786,62,52
22787,63,1
22788,63,3
22789,63,5
22790,63,7
22791,63,9
22792,63,11
22793,63,13
22794,63,15
22795,63,17
22796,63,19
22797,63,21
22798,63,22
22799,63,23
22800,63,24
22801,63,25
22802,63,26
22803,63,27
22804,63,29
22805,63,30
22806,63,31
22807,63,33
22808,63,32
22809,63,35
22810,63,34
22811,63,36
22812,63,37
22813,63,38
22814,63,39
22815,63,40
22816,63,41
22817,63,42
22818,63,43
22819,63,44
22820,63,45
22821,63,46
22822,63,47
22823,63,48
22824,63,50
22825,63,49
22826,63,51
22827,63,52
22828,64,1
22829,64,3
22830,64,5
22831,64,7
22832,64,9
22833,64,11
22834,64,13
22835,64,15
22836,64,17
22837,64,19
22838,64,21
22839,64,22
22840,64,23
22841,64,24
22842,64,25
22843,64,26
22844,64,27
22845,64,29
22846,64,30
22847,64,31
22848,64,33
22849,64,32
22850,64,35
22851,64,34
22852,64,36
22853,64,37
22854,64,38
22855,64,39
22856,64,40
22857,64,41
22858,64,42
22859,64,43
22860,64,44
22861,64,45
22862,64,46
22863,64,47
22864,64,48
22865,64,50
22866,64,49
22867,64,51
22868,64,52
22869,65,1
22870,65,3
22871,65,5
22872,65,7
22873,65,9
22874,65,11
22875,65,13
22876,65,15
22877,65,17
22878,65,19
22879,65,21
22880,65,22
22881,65,23
22882,65,24
22883,65,25
22884,65,26
22885,65,27
22886,65,29
22887,65,30
22888,65,31
22889,65,33
22890,65,32
22891,65,35
22892,65,34
22893,65,36
22894,65,37
22895,65,38
22896,65,39
22897,65,40
22898,65,41
22899,65,42
22900,65,43
22901,65,44
22902,65,45
22903,65,46
22904,65,47
22905,65,48
22906,65,50
22907,65,49
22908,65,51
22909,65,52
22910,66,1
22911,66,3
22912,66,5
22913,66,7
22914,66,9
22915,66,11
22916,66,13
22917,66,15
22918,66,17
22919,66,19
22920,66,21
22921,66,22
22922,66,23
22923,66,24
22924,66,25
22925,66,26
22926,66,27
22927,66,29
22928,66,30
22929,66,31
22930,66,33
22931,66,32
22932,66,35
22933,66,34
22934,66,36
22935,66,37
22936,66,38
22937,66,39
22938,66,40
22939,66,41
22940,66,42
22941,66,43
22942,66,44
22943,66,45
22944,66,46
22945,66,47
22946,66,48
22947,66,50
22948,66,49
22949,66,51
22950,66,52
22951,67,1
22952,67,3
22953,67,5
22954,67,7
22955,67,9
22956,67,11
22957,67,13
22958,67,15
22959,67,17
22960,67,19
22961,67,21
22962,67,22
22963,67,23
22964,67,24
22965,67,25
22966,67,26
22967,67,27
22968,67,29
22969,67,30
22970,67,31
22971,67,33
22972,67,32
22973,67,35
22974,67,34
22975,67,36
22976,67,37
22977,67,38
22978,67,39
22979,67,40
22980,67,41
22981,67,42
22982,67,43
22983,67,44
22984,67,45
22985,67,46
22986,67,47
22987,67,48
22988,67,50
22989,67,49
22990,67,51
22991,67,52
22992,68,1
22993,68,3
22994,68,5
22995,68,7
22996,68,9
22997,68,11
22998,68,13
22999,68,15
23000,68,17
23001,68,19
23002,68,21
23003,68,22
23004,68,23
23005,68,24
23006,68,25
23007,68,26
23008,68,27
23009,68,29
23010,68,30
23011,68,31
23012,68,33
23013,68,32
23014,68,35
23015,68,34
23016,68,36
23017,68,37
23018,68,38
23019,68,39
23020,68,40
23021,68,41
23022,68,42
23023,68,43
23024,68,44
23025,68,45
23026,68,46
23027,68,47
23028,68,48
23029,68,50
23030,68,49
23031,68,51
23032,68,52
23033,69,1
23034,69,3
23035,69,5
23036,69,7
23037,69,9
23038,69,11
23039,69,13
23040,69,15
23041,69,17
23042,69,19
23043,69,21
23044,69,22
23045,69,23
23046,69,24
23047,69,25
23048,69,26
23049,69,27
23050,69,29
23051,69,30
23052,69,31
23053,69,33
23054,69,32
23055,69,35
23056,69,34
23057,69,36
23058,69,37
23059,69,38
23060,69,39
23061,69,40
23062,69,41
23063,69,42
23064,69,43
23065,69,44
23066,69,45
23067,69,46
23068,69,47
23069,69,48
23070,69,50
23071,69,49
23072,69,51
23073,69,52
23074,70,1
23075,70,3
23076,70,5
23077,70,7
23078,70,9
23079,70,11
23080,70,13
23081,70,15
23082,70,17
23083,70,19
23084,70,21
23085,70,22
23086,70,23
23087,70,24
23088,70,25
23089,70,26
23090,70,27
23091,70,29
23092,70,30
23093,70,31
23094,70,33
23095,70,32
23096,70,35
23097,70,34
23098,70,36
23099,70,37
23100,70,38
23101,70,39
23102,70,40
23103,70,41
23104,70,42
23105,70,43
23106,70,44
23107,70,45
23108,70,46
23109,70,47
23110,70,48
23111,70,50
23112,70,49
23113,70,51
23114,70,52
23115,71,1
23116,71,3
23117,71,5
23118,71,7
23119,71,9
23120,71,11
23121,71,13
23122,71,15
23123,71,17
23124,71,19
23125,71,21
23126,71,22
23127,71,23
23128,71,24
23129,71,25
23130,71,26
23131,71,27
23132,71,29
23133,71,30
23134,71,31
23135,71,33
23136,71,32
23137,71,35
23138,71,34
23139,71,36
23140,71,37
23141,71,38
23142,71,39
23143,71,40
23144,71,41
23145,71,42
23146,71,43
23147,71,44
23148,71,45
23149,71,46
23150,71,47
23151,71,48
23152,71,50
23153,71,49
23154,71,51
23155,71,52
23156,72,1
23157,72,3
23158,72,5
23159,72,7
23160,72,9
23161,72,11
23162,72,13
23163,72,15
23164,72,17
23165,72,19
23166,72,21
23167,72,22
23168,72,23
23169,72,24
23170,72,25
23171,72,26
23172,72,27
23173,72,29
23174,72,30
23175,72,31
23176,72,33
23177,72,32
23178,72,35
23179,72,34
23180,72,36
23181,72,37
23182,72,38
23183,72,39
23184,72,40
23185,72,41
23186,72,42
23187,72,43
23188,72,44
23189,72,45
23190,72,46
23191,72,47
23192,72,48
23193,72,50
23194,72,49
23195,72,51
23196,72,52
