Code
purchase_requisition
purchase_requisition_approve
open_purchase_order
purchase_order
purchase_order_approve
import_car
import_car_list
install_equipment
install_equipment_po
install_equipment_po_approve
car_park_transfer
car_park_transfer_log
parking_zone
car
borrow_car
borrow_car_list
borrow_car_confirm_approve
borrow_car_approve
transfer_car
transfer_car_receive
selling_car
selling_price
selling_price_approve
car_auction
short_term_rental
transport
operation
car_service_type
service_type
location_group
location
product
product_additional
promotion
long_term_rental
long_term_rental_spec
long_term_rental_spec_check_car
long_term_rental_specs_accessory
long_term_rental_spec_approve
long_term_rental_compare_price
long_term_rental_quotation
quotation
quotation_approve
contract_check_and_edit
car_inspection
config_car_inspection
config_inspection_flow
repair
repair_order
repair_quotation_approve
check_distance_notice
repair_order cost
repair_bill
gps_service_charge
gps_car
gps_alert
gps_check_signal_alert
gps_check_signal_short_term
gps_check_signal_long_term
gps_check_signal_replacement
gps_check_signal_kratos
gps_check_signal_short_term_branch
gps_remove_stop_signal_alert
gps_remove_stop_signal_job
gps_remove_signal_job
gps_stop_signal_job
gps_historical_data_alert
gps_historical_data_job
driving_job
record_driver_fee
accident_inform
accident_order
accident_follow_up_repair
accident_order_approve
accident_order_sheet_approve
accident_order_sheet_ttl_approve
replacement_type_car
replacement_car
replacement_car_approve
register
renewal_car_tax
transfer_car_ownership
ticket_sign_yellow
request_change_register
change_register_job
request_premium
insurance_car
cmi
insurance_car_cmi_renew
cancel_cmi
vmi
insurance_car_vmi_renew
cancel_vmi
pay_premium_approve
transportation_insurance
insurance_deduct
insurance_loss_ratio
finance_request
finance_request_approve
finance_contract
finances
finance_turn_off
request_receipt
create_receipt
receipt
sap_interface_ar
invoice
long_term_rental_invoice
short_term_rental_invoice
transport_invoice
credit_note
debt_collection
check_billing_date
asset
sap_interface_ap
record_other_expenses
record_petty_cash
check_petty_cash
contract_check_credit_new_customer
contract_check_credit_job
contract_check_credit_approve
contract_all_list
contract_master_data_category
litigation
litigation_approve
traffic_ticket
m_flow
loss_of_benefit
loss_of_benefit_approve
accident_inform_sheet
call_center_follow_up_repair
call_center_repair
call_center_repair_order
branch
car_brand
car_category
car_type
car_class
car_tire
car_battery
car_wiper
car_group
car_color
accessory
driver
driving_skill
driver_wage_category
driver_wage
driver_report
customer_group
customer
creditor
insurance_companies
garage
auction_place
check_distance
repair_list
short_term_condition_quotation
long_term_condition_quotation
condition_repair_service
pdpa
long_term_rental_type
long_term_rental_bom
auction_reject_reason
user
user_department
department
section
role
permission
config_approve
dashboard
