id,Name,service_type_id (Name),calculate_type,standard_price,branch_id,booking_day_mon,booking_day_tue,booking_day_wed,booking_day_thu,booking_day_fri,booking_day_sat,booking_day_sun,start_booking_time,end_booking_time,reserve_booking_duration,start_date,end_date,is_used_application,fix_days,fix_return_time,status,created_at,updated_at,deleted_at,created_by,updated_by,deleted_by
,เช่าขับเอง รายเดือน (Toyota Fortuner),เช่าขับเอง,MONTHLY,32000,สาขากรุงเทพฯ,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายเดือน (Toyota Sienta),เช่าขับเอง,MONTHLY,24000,สาขากรุงเทพฯ,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายเดือน (Toyota CH-R),เช่าขับเอง,MONTHLY,29700,สาขากรุงเทพฯ,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายเดือน (MG 3),เช่าขับเอง,MONTHLY,17250,สาขากรุงเทพฯ,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายเดือน (MG 5),เช่าขับเอง,MONTHLY,24150,สาขากรุงเทพฯ,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายเดือน (MG ZS),เช่าขับเอง,MONTHLY,27600,สาขากรุงเทพฯ,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายเดือน (Toyota Hilux Revo Standard cap),เช่าขับเอง,MONTHLY,25050,สาขากรุงเทพฯ,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายเดือน (Toyota Hilux Revo Smart cap),เช่าขับเอง,MONTHLY,26700,สาขากรุงเทพฯ,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายเดือน (Toyota Hilux Revo Double cap),เช่าขับเอง,MONTHLY,31050,สาขากรุงเทพฯ,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายวัน (Toyota Yaris),เช่าขับเอง,DAILY,1200,สาขาพระประแดง,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายวัน (Toyota Vios),เช่าขับเอง,DAILY,1280,สาขาพระประแดง,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายวัน (Toyota Altis),เช่าขับเอง,DAILY,1580,สาขาพระประแดง,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายวัน (Toyota Camry),เช่าขับเอง,DAILY,2340,สาขาพระประแดง,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายวัน (Toyota Fortuner),เช่าขับเอง,DAILY,2890,สาขาพระประแดง,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายวัน (Toyota Sienta),เช่าขับเอง,DAILY,1600,สาขาพระประแดง,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายวัน (Toyota CH-R),เช่าขับเอง,DAILY,1980,สาขาพระประแดง,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายวัน (MG 3),เช่าขับเอง,DAILY,1150,สาขาพระประแดง,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายวัน (MG 5),เช่าขับเอง,DAILY,1610,สาขาพระประแดง,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายวัน (MG ZS),เช่าขับเอง,DAILY,1840,สาขาพระประแดง,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายวัน (Toyota Hilux Revo Standard cap),เช่าขับเอง,DAILY,1670,สาขาพระประแดง,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายวัน (Toyota Hilux Revo Smart cap),เช่าขับเอง,DAILY,1780,สาขาพระประแดง,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายวัน (Toyota Hilux Revo Double cap),เช่าขับเอง,DAILY,2070,สาขาพระประแดง,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายเดือน (Toyota Yaris),เช่าขับเอง,MONTHLY,17200,สาขาพระประแดง,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายเดือน (Toyota Vios),เช่าขับเอง,MONTHLY,18100,สาขาพระประแดง,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายเดือน (Toyota Altis),เช่าขับเอง,MONTHLY,24900,สาขาพระประแดง,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายเดือน (Toyota Camry),เช่าขับเอง,MONTHLY,32000,สาขาพระประแดง,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายเดือน (Toyota Fortuner),เช่าขับเอง,MONTHLY,32000,สาขาพระประแดง,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายเดือน (Toyota Sienta),เช่าขับเอง,MONTHLY,24000,สาขาพระประแดง,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายเดือน (Toyota CH-R),เช่าขับเอง,MONTHLY,29700,สาขาพระประแดง,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายเดือน (MG 3),เช่าขับเอง,MONTHLY,17250,สาขาพระประแดง,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายเดือน (MG 5),เช่าขับเอง,MONTHLY,24150,สาขาพระประแดง,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายเดือน (MG ZS),เช่าขับเอง,MONTHLY,27600,สาขาพระประแดง,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายเดือน (Toyota Hilux Revo Standard cap),เช่าขับเอง,MONTHLY,25050,สาขาพระประแดง,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายเดือน (Toyota Hilux Revo Smart cap),เช่าขับเอง,MONTHLY,26700,สาขาพระประแดง,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายเดือน (Toyota Hilux Revo Double cap),เช่าขับเอง,MONTHLY,31050,สาขาพระประแดง,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายวัน (Toyota Yaris),เช่าขับเอง,DAILY,1200,สาขาเชียงใหม่,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายวัน (Toyota Vios),เช่าขับเอง,DAILY,1280,สาขาเชียงใหม่,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายวัน (Toyota Altis),เช่าขับเอง,DAILY,1580,สาขาเชียงใหม่,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายวัน (Toyota Camry),เช่าขับเอง,DAILY,2340,สาขาเชียงใหม่,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายวัน (Toyota Fortuner),เช่าขับเอง,DAILY,2890,สาขาเชียงใหม่,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายวัน (Toyota Sienta),เช่าขับเอง,DAILY,1600,สาขาเชียงใหม่,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายวัน (Toyota CH-R),เช่าขับเอง,DAILY,1980,สาขาเชียงใหม่,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายวัน (MG 3),เช่าขับเอง,DAILY,1150,สาขาเชียงใหม่,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายวัน (MG 5),เช่าขับเอง,DAILY,1610,สาขาเชียงใหม่,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
,เช่าขับเอง รายวัน (MG ZS),เช่าขับเอง,DAILY,1840,สาขาเชียงใหม่,1,1,1,1,1,1,1,6:00:00,23:59:00,24,1/1/2022,12/7/2026,1,NULL,NULL,1,2023-03-07 13:06:12,2023-03-07 13:06:12,NULL,NULL,NULL,NULL
