id,name,driver_wage_category_id,is_standard,wage_cal_type,wage_cal_day,wage_cal_time,is_special_wage,service_type_id,seq,status,created_at,updated_at,deleted_at,created_by,updated_by,deleted_by
a4eabeb2-e7ad-b1e9-51a8-deb5ac9826e6,รถตู้เย็น - ค่าบริการเพิ่มเติม (ข้อ 2-5),พขร - ค่าบริการเพิ่มเติม (ข้อ 2-5),1,PER_MONTH,ALL,ALL,0,รถขนส่ง,100,1,2023-05-22 23:16:16,2023-05-22 23:16:16,NULL,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,NULL
afb8b56d-b386-2587-061d-c6981eceb296,รถตู้เย็น - ค่าเที่ยว ระยะทางมากกว่า 600 กม.,พขร - ค่าเที่ยว ระยะทางมากกว่า 600 กม.,1,PER_DAY,ALL,ALL,0,รถขนส่ง,100,1,2023-05-22 23:16:16,2023-05-22 23:16:16,NULL,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,NULL
f39a18f3-1590-bf6f-9222-afe4393a715f,รถตู้เย็น - ค่าทำงานวันหยุด,พขร - ค่าทำงานวันหยุด,1,PER_DAY,ALL,ALL,0,รถขนส่ง,100,1,2023-05-22 23:16:16,2023-05-22 23:16:16,NULL,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,NULL
0210f86f-3bd7-a657-40c0-fbbaee3398db,(ภูเก็ต) รถทดแทน-ส่วนกลาง - ประกันค่าเที่ยว,พขร - ประกันค่าเที่ยว,1,PER_MONTH,ALL,ALL,0,เช่าขับเอง,100,1,2023-05-22 23:16:16,2023-05-22 23:16:16,NULL,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,NULL
0a7c28ae-c571-e523-e701-0b3d57dc7b79,(เชียงใหม่-เชียงราย) รถทดแทน-ส่วนกลาง - ค่าบริการเพิ่มเติม (ข้อ 2-5),พขร - ค่าบริการเพิ่มเติม (ข้อ 2-5),1,PER_MONTH,ALL,ALL,0,เช่าขับเอง,100,1,2023-05-22 23:16:16,2023-05-22 23:16:16,NULL,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,NULL
37b7d397-26e3-2404-c3b4-b9010ef2211e,(เชียงใหม่-เชียงราย) รถทดแทน-ส่วนกลาง - ค่าบริการดี,พขร - ค่าบริการดี,1,PER_MONTH,ALL,ALL,0,เช่าขับเอง,100,1,2023-05-22 23:16:16,2023-05-22 23:16:16,NULL,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,NULL
43ba0857-7cb1-4ec5-20f2-4a5aea8fa2d4,(ภูเก็ต) รถทดแทน-ส่วนกลาง - ค่าบริการดี,พขร - ค่าบริการดี,1,PER_MONTH,ALL,ALL,0,เช่าขับเอง,100,1,2023-05-22 23:16:16,2023-05-22 23:16:16,NULL,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,NULL
5927c41e-dafc-cbe2-3737-52746d9d87cb,(เชียงใหม่-เชียงราย) รถทดแทน-ส่วนกลาง - ค่าทำงานในวันหยุด,พขร - ค่าทำงานในวันหยุด,1,PER_DAY,ALL,ALL,0,เช่าขับเอง,100,1,2023-05-22 23:16:16,2023-05-22 23:16:16,NULL,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,NULL
681ae2c5-350e-a9a8-4e2b-bfd2b9961287,(เชียงใหม่-เชียงราย) รถทดแทน-ส่วนกลาง - เงินเดือน,พขร - เงินเดือน,1,PER_MONTH,ALL,ALL,0,เช่าขับเอง,100,1,2023-05-22 23:16:16,2023-05-22 23:16:16,NULL,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,NULL
6abb1dd7-f299-95f5-84cf-c0344cb4ac88,(ภูเก็ต) รถทดแทน-ส่วนกลาง - ค่าทำงานในวันหยุด,พขร - ค่าทำงานในวันหยุด,1,PER_DAY,ALL,ALL,0,เช่าขับเอง,100,1,2023-05-22 23:16:16,2023-05-22 23:16:16,NULL,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,NULL
